tweet_id,created_at,date,hour,weekday,username,platform,country,tweet_text_raw,text_clean,likes,retweets,sentiment_score,sentiment
t015,2026-08-03 00:00:00,2026-08-03,0,Monday,emma,Mobile,United States,Battery drain is awful after version 3.1 😞,battery drain awful version NUMBER,98.0,14.0,-0.9256505900993943,Negative
t016,2026-08-04 12:10:00,2026-08-04,12,Tuesday,frank,Mobile,United Kingdom,The feature is okay; I need more time to use it.,feature okay need time use,135.0,25.0,0.7542565576732159,Positive
t017,2026-08-05 12:52:00,2026-08-05,12,Wednesday,grace,iOS,Canada,Wow!!! The recommendations are surprisingly good.,wow recommendation surprisingly good,172.0,36.0,0.9847431022208184,Positive
t018,2026-08-06 00:00:00,2026-08-06,0,Thursday,henry,iOS,United States,Cannot upload my file... error 500 again!!!,upload file error NUMBER,208.0,47.0,-0.9209898449480534,Negative
t019,2026-08-07 00:00:00,2026-08-07,0,Friday,ivy,Android,United States,Checking out the release notes at https://example.org/release,checking release note URL,246.0,58.0,0.06900420878082514,Neutral
t020,2026-08-08 12:10:00,2026-08-08,12,Saturday,jack,Android,United Kingdom,Love how simple this feels now ❤️,love simple feel,283.0,69.0,0.9704373045824468,Positive
t021,2026-08-09 16:20:00,2026-08-09,16,Sunday,alice,Web,United States,Notifications are way too frequent and annoying.,notification way frequent annoying,320.0,10.0,-0.881804115138948,Negative
t023,2026-08-11 00:00:00,2026-08-11,0,Tuesday,carol,Web,United Kingdom,The new chart is beautiful and easy to understand.,new chart beautiful easy understand,394.0,32.0,0.9822680226061493,Positive
t024,2026-08-12 12:10:00,2026-08-12,12,Wednesday,david,Mobile,Canada,Search results look worse than before :(,search result look worse,11.0,43.0,-0.9320734008215368,Negative
t025,2026-08-01 08:48:00,2026-08-01,8,Saturday,emma,Mobile,United States,Testing on my phone during lunch #testing,testing phone lunch testing,48.0,54.0,0.17124733328819275,Neutral
t027,2026-08-03 00:00:00,2026-08-03,0,Monday,grace,iOS,Canada,The update is terrible... app crashed twice. https://example.com/help,update terrible app crashed twice URL,122.0,6.0,-0.9448261572979391,Negative
t028,2026-08-04 12:10:00,2026-08-04,12,Tuesday,henry,iOS,United States,Trying the new feature today. Not sure what I think yet.,trying new feature today sure think yet,159.0,17.0,0.05710693448781967,Neutral
t029,2026-08-05 12:16:00,2026-08-05,12,Wednesday,ivy,Android,United States,Great work @team!!! Version 2.0 feels much smoother #update,great work USER version NUMBER feel much smoother update,196.0,28.0,0.9846684371586889,Positive
t030,2026-08-06 00:00:00,2026-08-06,0,Thursday,jack,Android,United Kingdom,Why is login still broken??? This is so frustrating 😡,login still broken frustrating,233.0,39.0,-0.9470732999034226,Negative
t031,2026-08-07 00:00:00,2026-08-07,0,Friday,alice,Web,United States,Downloaded it. Will test later.,downloaded test later,1200.0,50.0,0.13983468618243933,Neutral
t032,2026-08-08 12:10:00,2026-08-08,12,Saturday,bob_22,Web,United States,"Amazing service, thank you!!!",amazing service thank,307.0,61.0,0.9774291249923408,Positive
t033,2026-08-09 16:44:00,2026-08-09,16,Sunday,carol,Web,United Kingdom,Support never replied to my email. disappointed.,support never replied email disappointed,344.0,2.0,-0.9160329266451299,Negative
t034,2026-08-10 00:00:00,2026-08-10,0,Monday,david,Mobile,Canada,New interface launched today #design,new interface launched today design,381.0,13.0,0.7298030769452453,Positive
t035,2026-08-11 00:00:00,2026-08-11,0,Tuesday,emma,Mobile,United States,The search works sooo much better now!!! 10/10,search work sooo much better NUMBER NUMBER,418.0,24.0,0.975101547781378,Positive
t036,2026-08-12 12:10:00,2026-08-12,12,Wednesday,frank,Mobile,United Kingdom,Really enjoying the cleaner layout and quicker loading time! #product,really enjoying cleaner layout quicker loading time product,35.0,0.0,0.9795971976127476,Positive
t037,2026-08-01 08:12:00,2026-08-01,8,Saturday,grace,iOS,Canada,"Not happy with the latest change, it takes forever to open.",happy latest change take forever open,72.0,46.0,-0.9157063029706478,Negative
t038,2026-08-02 00:00:00,2026-08-02,0,Sunday,henry,iOS,United States,Just installed the update and exploring the settings.,installed update exploring setting,109.0,57.0,0.15693123638629913,Neutral
t039,2026-08-03 00:00:00,2026-08-03,0,Monday,ivy,Android,United States,Customer support was fantastic today. Thanks @support!,customer support fantastic today thanks USER,146.0,68.0,0.9818303873762488,Positive
t040,2026-08-04 12:10:00,2026-08-04,12,Tuesday,jack,Android,United Kingdom,Battery drain is awful after version 3.1 😞,battery drain awful version NUMBER,183.0,9.0,-0.9256505900993943,Negative
t041,2026-08-05 12:40:00,2026-08-05,12,Wednesday,alice,Web,United States,The feature is okay; I need more time to use it.,feature okay need time use,220.0,20.0,0.7542565576732159,Positive
t042,2026-08-06 00:00:00,2026-08-06,0,Thursday,bob_22,Web,United States,Wow!!! The recommendations are surprisingly good.,wow recommendation surprisingly good,257.0,31.0,0.9847431022208184,Positive
t043,2026-08-07 00:00:00,2026-08-07,0,Friday,carol,Web,United Kingdom,Cannot upload my file... error 500 again!!!,upload file error NUMBER,294.0,42.0,-0.9209898449480534,Negative
t044,2026-08-08 12:10:00,2026-08-08,12,Saturday,david,Mobile,Canada,Checking out the release notes at https://example.org/release,checking release note URL,331.0,53.0,0.06900420878082514,Neutral
t045,2026-08-09 16:08:00,2026-08-09,16,Sunday,emma,Mobile,United States,Love how simple this feels now ❤️,love simple feel,368.0,64.0,0.9704373045824468,Positive
t046,2026-08-10 00:00:00,2026-08-10,0,Monday,frank,Mobile,United Kingdom,Notifications are way too frequent and annoying.,notification way frequent annoying,405.0,5.0,-0.881804115138948,Negative
t047,2026-08-11 00:00:00,2026-08-11,0,Tuesday,grace,iOS,Canada,Nothing major changed for me today.,nothing major changed today,22.0,16.0,-0.1617428958415985,Neutral
t048,2026-08-12 12:10:00,2026-08-12,12,Wednesday,henry,iOS,United States,The new chart is beautiful and easy to understand.,new chart beautiful easy understand,59.0,27.0,0.9822680226061493,Positive
